,countyFIPS,annual_avg_emplvl
908947,20163,1806
909366,20165,1085
909680,20167,2488
910217,20169,30030
911387,20171,2285
911886,20173,250769
913779,20175,10640
914543,20177,96733
916108,20179,967
916456,20181,2447
916966,20183,1279
917372,20185,1209
917771,20187,836
918047,20189,1814
918459,20191,6814
919157,20193,4044
919818,20195,1194
920192,20197,1341
920614,20199,534
920882,20201,2018
921362,20203,911
921682,20205,3670
922196,20207,710
922494,20209,90469
923978,20999,23492
927847,21001,4509
928510,21003,4619
929085,21005,4797
929750,21007,1467
930169,21009,16762
931174,21011,1876
931582,21013,8191
932336,21015,93013
933900,21017,6543
934587,21019,24315
935699,21021,14011
936648,21023,1335
937007,21025,3004
937463,21027,3500
938046,21029,25794
939045,21031,2902
939601,21033,4136
940239,21035,16390
941252,21037,30279
942491,21039,1046
942828,21041,6988
943438,21043,5447
944135,21045,3886
944694,21047,30949
946040,21049,14747
946984,21051,3969
947497,21053,3850
948045,21055,1996
948484,21057,1865
948894,21059,46411
950337,21061,1588
950746,21063,914
951016,21065,2346
951511,21067,193467
953312,21069,3013
953867,21071,10457
954724,21073,31742
955955,21075,2046
956389,21077,2461
956773,21079,2164
957336,21081,4872
958034,21083,11026
958993,21085,7929
959775,21087,1697
960210,21089,7756
960946,21091,4002
961384,21093,47828
962757,21095,6115
963407,21097,4910
964025,21099,5220
964581,21101,19476
965647,21103,2718
966166,21105,951
966458,21107,16562
967478,21109,1606
967856,21111,467983
969946,21113,17037
971011,21115,5180
971704,21117,66652
973204,21119,2255
973615,21121,7910
974334,21123,2530
974818,21125,26723
975877,21127,3329
976368,21129,1668
976750,21131,1601
977066,21133,4460
977618,21135,1924
978037,21137,4003
978658,21139,2509
979098,21141,8877
979907,21143,2495
980403,21145,38706
981725,21147,2597
982161,21149,2079
982604,21151,34116
983853,21153,1572
984260,21155,8700
984941,21157,11050
985854,21159,2280
986233,21161,8508
986987,21163,4246
987614,21165,934
987906,21167,6225
988628,21169,1841
989067,21171,3188
989588,21173,10356
990440,21175,2891
990914,21177,8069
991720,21179,15983
992741,21181,848
993043,21183,7795
993697,21185,16046
994812,21187,1398
995173,21189,664
995404,21191,2361
995881,21193,11174
996661,21195,20740
997635,21197,2623
998118,21199,25543
999298,21201,302
999474,21203,3845
999976,21205,10352
1000775,21207,5780
1001417,21209,26709
1002447,21211,16999
1003551,21213,9030
1004326,21215,1982
1004856,21217,11871
1005730,21219,2205
1006267,21221,3079
1006835,21223,1129
1007213,21225,4900
1007821,21227,64618
1009335,21229,3334
1009902,21231,5806
1010497,21233,3130
1010970,21235,11790
1011811,21237,1206
1012147,21239,9033
1013025,21999,26420
1017538,22001,14469
1018632,22003,7597
1019318,22005,45708
1020718,22007,3881
1021279,22009,10553
1022205,22011,8100
1023073,22013,4407
1023616,22015,44381
1025099,22017,111979
1026923,22019,101874
1028599,22021,2326
1029084,22023,11904
1029509,22025,2001
1029974,22027,3371
1030492,22029,5242
1031173,22031,6926
1031935,22033,267593
1034041,22035,1730
1034494,22037,5008
1035122,22039,7708
1035913,22041,4702
1036583,22043,3419
1037088,22045,26334
1038372,22047,17248
1039278,22049,3426
1039830,22051,189665
1041705,22053,8324
1042552,22055,130603
1044384,22057,34132
1045690,22059,4487
1046312,22061,19239
1047461,22063,28012
1048742,22065,3164
1049280,22067,6633
1050057,22069,13299
1051102,22071,196659
1053100,22073,70503
1054750,22075,12357
1055607,22077,5271
1056341,22079,56716
1057908,22081,2810
1058376,22083,6550
1059119,22085,5317
1059841,22087,10182
1060776,22089,23600
1061902,22091,1462
1062261,22093,8138
1062937,22095,15107
1063950,22097,23615
1065199,22099,12119
1066195,22101,21357
1067375,22103,89105
1069188,22105,43633
1070685,22107,917
1071039,22109,49809
1072508,22111,5145
1073134,22113,12642
1074186,22115,12638
1075181,22117,10442
1076052,22119,11725
1077001,22121,12137
1077908,22123,2378
1078376,22125,5539
1078940,22127,4598
1079521,22999,29589
1083225,23001,49282
1084623,23003,26820
1085830,23005,185438
1087707,23007,10625
1088570,23009,22547
1089779,23011,60246
1091290,23013,17587
