area_fips,naics_code,annual_avg_emplvl,STATE
39000,442,13750,39.0
39000,443,15628,39.0
39000,444,51583,39.0
39000,445,102941,39.0
39000,446,35920,39.0
39000,447,36172,39.0
39000,448,38269,39.0
39000,451,19126,39.0
39000,452,113487,39.0
39000,453,29820,39.0
39000,454,28399,39.0
39000,481,10179,39.0
39000,482,15,39.0
39000,483,689,39.0
39000,484,71981,39.0
39000,485,18296,39.0
39000,486,2065,39.0
39000,487,235,39.0
39000,488,23058,39.0
39000,491,23156,39.0
39000,492,25720,39.0
39000,493,57040,39.0
39000,511,21132,39.0
39000,512,6259,39.0
39000,515,6039,39.0
39000,517,23634,39.0
39000,518,8549,39.0
39000,519,18202,39.0
39000,521,0,39.0
39000,522,97664,39.0
39000,523,19202,39.0
39000,524,112652,39.0
39000,525,0,39.0
39000,531,45159,39.0
39000,532,18320,39.0
39000,533,677,39.0
39000,541,266760,39.0
39000,551,140729,39.0
39000,561,312190,39.0
39000,562,19170,39.0
39000,611,433320,39.0
39000,621,279975,39.0
39000,622,291782,39.0
39000,623,174591,39.0
39000,624,140685,39.0
39000,711,15412,39.0
39000,712,10097,39.0
39000,713,69083,39.0
39000,721,38660,39.0
39000,722,446387,39.0
39000,811,49150,39.0
39000,812,56442,39.0
39000,813,48550,39.0
39000,814,4064,39.0
39000,921,46303,39.0
39000,922,88597,39.0
39000,923,18869,39.0
39000,924,12097,39.0
39000,925,5091,39.0
39000,926,14685,39.0
39000,927,1560,39.0
39000,928,25539,39.0
39000,999,404,39.0
40000,111,2729,40.0
40000,112,6983,40.0
40000,113,0,40.0
40000,114,0,40.0
40000,115,1026,40.0
40000,211,18001,40.0
40000,212,2315,40.0
40000,213,32695,40.0
40000,221,15508,40.0
40000,236,13068,40.0
40000,237,23351,40.0
40000,238,48123,40.0
40000,311,15411,40.0
40000,312,2671,40.0
40000,313,120,40.0
40000,314,566,40.0
40000,315,508,40.0
40000,316,141,40.0
40000,321,1795,40.0
40000,322,3209,40.0
40000,323,2275,40.0
40000,324,2563,40.0
40000,325,3557,40.0
40000,326,10012,40.0
40000,327,7122,40.0
40000,331,3844,40.0
40000,332,25190,40.0
40000,333,27043,40.0
40000,334,4225,40.0
40000,335,3467,40.0
40000,336,20363,40.0
40000,337,2150,40.0
40000,339,3280,40.0
40000,423,29133,40.0
40000,424,21339,40.0
40000,425,7276,40.0
40000,441,26077,40.0
40000,442,4804,40.0
40000,443,5116,40.0
40000,444,17579,40.0
40000,445,22456,40.0
40000,446,11395,40.0
40000,447,17656,40.0
40000,448,11115,40.0
40000,451,6497,40.0
40000,452,43021,40.0
40000,453,12592,40.0
40000,454,2290,40.0
40000,481,1274,40.0
40000,484,20492,40.0
40000,485,1302,40.0
40000,486,2906,40.0
40000,487,54,40.0
40000,488,6985,40.0
40000,491,6937,40.0
40000,492,5179,40.0
40000,493,13478,40.0
40000,511,4311,40.0
40000,512,2043,40.0
40000,515,2866,40.0
40000,517,8729,40.0
40000,518,1175,40.0
40000,519,2450,40.0
40000,521,0,40.0
40000,522,32028,40.0
40000,523,4525,40.0
40000,524,19247,40.0
40000,525,0,40.0
40000,531,12787,40.0
40000,532,8829,40.0
40000,533,170,40.0
40000,541,74810,40.0
40000,551,19140,40.0
40000,561,97639,40.0
40000,562,4620,40.0
40000,611,140347,40.0
40000,621,78816,40.0
40000,622,70945,40.0
40000,623,34415,40.0
40000,624,32446,40.0
40000,711,2976,40.0
40000,712,1349,40.0
40000,713,36601,40.0
40000,721,14419,40.0
40000,722,139843,40.0
40000,811,15060,40.0
40000,812,12605,40.0
40000,813,7886,40.0
40000,814,1178,40.0
40000,921,35806,40.0
40000,922,25983,40.0
40000,923,16305,40.0
40000,924,3648,40.0
40000,925,1347,40.0
40000,926,9780,40.0
40000,927,0,40.0
40000,928,21271,40.0
40000,999,0,40.0
41000,111,27781,41.0
41000,112,4027,41.0
41000,113,8836,41.0
41000,114,280,41.0
41000,115,13999,41.0
41000,212,1850,41.0
41000,213,83,41.0
41000,221,9093,41.0
41000,236,29964,41.0
41000,237,15616,41.0
41000,238,65218,41.0
41000,311,29873,41.0
41000,312,6790,41.0
41000,313,105,41.0
41000,314,1037,41.0
41000,315,859,41.0
41000,316,474,41.0
