STATE,COUNTY,STNAME,CTYNAME,SHELTER_DATE
13,77,Georgia,Coweta County,4/3/20
13,79,Georgia,Crawford County,4/3/20
13,81,Georgia,Crisp County,4/3/20
13,83,Georgia,Dade County,4/3/20
13,85,Georgia,Dawson County,4/3/20
13,87,Georgia,Decatur County,4/3/20
13,89,Georgia,DeKalb County,3/24/20
13,91,Georgia,Dodge County,4/3/20
13,93,Georgia,Dooly County,4/3/20
13,95,Georgia,Dougherty County,3/21/20
13,97,Georgia,Douglas County,4/3/20
13,99,Georgia,Early County,3/24/20
13,101,Georgia,Echols County,4/3/20
13,103,Georgia,Effingham County,4/3/20
13,105,Georgia,Elbert County,4/3/20
13,107,Georgia,Emanuel County,4/3/20
13,109,Georgia,Evans County,4/3/20
13,111,Georgia,Fannin County,4/3/20
13,113,Georgia,Fayette County,4/3/20
13,115,Georgia,Floyd County,4/3/20
13,117,Georgia,Forsyth County,4/3/20
13,119,Georgia,Franklin County,4/3/20
13,121,Georgia,Fulton County,3/24/20
13,123,Georgia,Gilmer County,4/3/20
13,125,Georgia,Glascock County,4/3/20
13,127,Georgia,Glynn County,4/3/20
13,129,Georgia,Gordon County,4/3/20
13,131,Georgia,Grady County,4/3/20
13,133,Georgia,Greene County,4/3/20
13,135,Georgia,Gwinnett County,4/3/20
13,137,Georgia,Habersham County,4/3/20
13,139,Georgia,Hall County,4/3/20
13,141,Georgia,Hancock County,4/3/20
13,143,Georgia,Haralson County,4/3/20
13,145,Georgia,Harris County,4/3/20
13,147,Georgia,Hart County,4/3/20
13,149,Georgia,Heard County,4/3/20
13,151,Georgia,Henry County,4/3/20
13,153,Georgia,Houston County,4/3/20
13,155,Georgia,Irwin County,4/3/20
13,157,Georgia,Jackson County,4/3/20
13,159,Georgia,Jasper County,4/3/20
13,161,Georgia,Jeff Davis County,4/3/20
13,163,Georgia,Jefferson County,4/3/20
13,165,Georgia,Jenkins County,4/3/20
13,167,Georgia,Johnson County,4/3/20
13,169,Georgia,Jones County,4/3/20
13,171,Georgia,Lamar County,4/3/20
13,173,Georgia,Lanier County,4/3/20
13,175,Georgia,Laurens County,4/3/20
13,177,Georgia,Lee County,4/3/20
13,179,Georgia,Liberty County,4/3/20
13,181,Georgia,Lincoln County,4/3/20
13,183,Georgia,Long County,4/3/20
13,185,Georgia,Lowndes County,4/3/20
13,187,Georgia,Lumpkin County,4/3/20
13,189,Georgia,McDuffie County,4/3/20
13,191,Georgia,McIntosh County,4/3/20
13,193,Georgia,Macon County,4/3/20
13,195,Georgia,Madison County,4/3/20
13,197,Georgia,Marion County,4/3/20
13,199,Georgia,Meriwether County,4/3/20
13,201,Georgia,Miller County,4/3/20
13,205,Georgia,Mitchell County,4/3/20
13,207,Georgia,Monroe County,4/3/20
13,209,Georgia,Montgomery County,4/3/20
13,211,Georgia,Morgan County,4/3/20
13,213,Georgia,Murray County,4/3/20
13,215,Georgia,Muscogee County,4/3/20
13,217,Georgia,Newton County,4/3/20
13,219,Georgia,Oconee County,4/3/20
13,221,Georgia,Oglethorpe County,4/3/20
13,223,Georgia,Paulding County,4/3/20
13,225,Georgia,Peach County,4/3/20
13,227,Georgia,Pickens County,4/3/20
13,229,Georgia,Pierce County,4/3/20
13,231,Georgia,Pike County,4/3/20
13,233,Georgia,Polk County,4/3/20
13,235,Georgia,Pulaski County,4/3/20
13,237,Georgia,Putnam County,4/3/20
13,239,Georgia,Quitman County,4/3/20
13,241,Georgia,Rabun County,4/3/20
13,243,Georgia,Randolph County,4/3/20
13,245,Georgia,Richmond County,4/3/20
13,247,Georgia,Rockdale County,4/3/20
13,249,Georgia,Schley County,4/3/20
13,251,Georgia,Screven County,4/3/20
13,253,Georgia,Seminole County,4/3/20
13,255,Georgia,Spalding County,4/3/20
13,257,Georgia,Stephens County,4/3/20
13,259,Georgia,Stewart County,4/3/20
13,261,Georgia,Sumter County,4/3/20
13,263,Georgia,Talbot County,4/3/20
13,265,Georgia,Taliaferro County,4/3/20
13,267,Georgia,Tattnall County,4/3/20
13,269,Georgia,Taylor County,4/3/20
13,271,Georgia,Telfair County,4/3/20
13,273,Georgia,Terrell County,4/3/20
13,275,Georgia,Thomas County,4/3/20
13,277,Georgia,Tift County,4/3/20
13,279,Georgia,Toombs County,4/3/20
13,281,Georgia,Towns County,4/3/20
13,283,Georgia,Treutlen County,4/3/20
13,285,Georgia,Troup County,4/3/20
13,287,Georgia,Turner County,4/3/20
13,289,Georgia,Twiggs County,4/3/20
13,291,Georgia,Union County,4/3/20
13,293,Georgia,Upson County,4/3/20
13,295,Georgia,Walker County,4/3/20
13,297,Georgia,Walton County,4/3/20
13,299,Georgia,Ware County,4/3/20
13,301,Georgia,Warren County,4/3/20
13,303,Georgia,Washington County,4/3/20
13,305,Georgia,Wayne County,4/3/20
13,307,Georgia,Webster County,4/3/20
13,309,Georgia,Wheeler County,4/3/20
13,311,Georgia,White County,4/3/20
13,313,Georgia,Whitfield County,4/3/20
13,315,Georgia,Wilcox County,4/3/20
13,317,Georgia,Wilkes County,4/3/20
13,319,Georgia,Wilkinson County,4/3/20
13,321,Georgia,Worth County,4/3/20
15,1,Hawaii,Hawaii County,3/25/20
15,3,Hawaii,Honolulu County,3/25/20
15,5,Hawaii,Kalawao County,3/25/20
15,7,Hawaii,Kauai County,3/25/20
15,9,Hawaii,Maui County,3/25/20
16,1,Idaho,Ada County,3/25/20
16,3,Idaho,Adams County,3/25/20
16,5,Idaho,Bannock County,3/25/20
16,7,Idaho,Bear Lake County,3/25/20
16,9,Idaho,Benewah County,3/25/20
16,11,Idaho,Bingham County,3/25/20
16,13,Idaho,Blaine County,3/25/20
16,15,Idaho,Boise County,3/25/20
16,17,Idaho,Bonner County,3/25/20
16,19,Idaho,Bonneville County,3/25/20
16,21,Idaho,Boundary County,3/25/20
16,23,Idaho,Butte County,3/25/20
16,25,Idaho,Camas County,3/25/20
16,27,Idaho,Canyon County,3/25/20
16,29,Idaho,Caribou County,3/25/20
16,31,Idaho,Cassia County,3/25/20
16,33,Idaho,Clark County,3/25/20
16,35,Idaho,Clearwater County,3/25/20
16,37,Idaho,Custer County,3/25/20
16,39,Idaho,Elmore County,3/25/20
16,41,Idaho,Franklin County,3/25/20
16,43,Idaho,Fremont County,3/25/20
16,45,Idaho,Gem County,3/25/20
16,47,Idaho,Gooding County,3/25/20
16,49,Idaho,Idaho County,3/25/20
16,51,Idaho,Jefferson County,3/25/20
16,53,Idaho,Jerome County,3/25/20
16,55,Idaho,Kootenai County,3/25/20
16,57,Idaho,Latah County,3/25/20
16,59,Idaho,Lemhi County,3/25/20
16,61,Idaho,Lewis County,3/25/20
16,63,Idaho,Lincoln County,3/25/20
16,65,Idaho,Madison County,3/25/20
16,67,Idaho,Minidoka County,3/25/20
16,69,Idaho,Nez Perce County,3/25/20
16,71,Idaho,Oneida County,3/25/20
16,73,Idaho,Owyhee County,3/25/20
16,75,Idaho,Payette County,3/25/20
16,77,Idaho,Power County,3/25/20
16,79,Idaho,Shoshone County,3/25/20
16,81,Idaho,Teton County,3/25/20
16,83,Idaho,Twin Falls County,3/25/20
16,85,Idaho,Valley County,3/25/20
16,87,Idaho,Washington County,3/25/20
17,1,Illinois,Adams County,3/21/20
17,3,Illinois,Alexander County,3/21/20
17,5,Illinois,Bond County,3/21/20
17,7,Illinois,Boone County,3/21/20
17,9,Illinois,Brown County,3/21/20
17,11,Illinois,Bureau County,3/21/20
17,13,Illinois,Calhoun County,3/21/20
17,15,Illinois,Carroll County,3/21/20
17,17,Illinois,Cass County,3/21/20
17,19,Illinois,Champaign County,3/21/20
17,21,Illinois,Christian County,3/21/20
17,23,Illinois,Clark County,3/21/20
17,25,Illinois,Clay County,3/21/20
17,27,Illinois,Clinton County,3/21/20
17,29,Illinois,Coles County,3/21/20
17,31,Illinois,Cook County,3/21/20
17,33,Illinois,Crawford County,3/21/20
17,35,Illinois,Cumberland County,3/21/20
17,37,Illinois,DeKalb County,3/21/20
17,39,Illinois,De Witt County,3/21/20
17,41,Illinois,Douglas County,3/21/20
17,43,Illinois,DuPage County,3/21/20
17,45,Illinois,Edgar County,3/21/20
17,47,Illinois,Edwards County,3/21/20
17,49,Illinois,Effingham County,3/21/20
17,51,Illinois,Fayette County,3/21/20
17,53,Illinois,Ford County,3/21/20
17,55,Illinois,Franklin County,3/21/20
17,57,Illinois,Fulton County,3/21/20
17,59,Illinois,Gallatin County,3/21/20
17,61,Illinois,Greene County,3/21/20
17,63,Illinois,Grundy County,3/21/20
17,65,Illinois,Hamilton County,3/21/20
17,67,Illinois,Hancock County,3/21/20
17,69,Illinois,Hardin County,3/21/20
17,71,Illinois,Henderson County,3/21/20
17,73,Illinois,Henry County,3/21/20
17,75,Illinois,Iroquois County,3/21/20
17,77,Illinois,Jackson County,3/21/20
17,79,Illinois,Jasper County,3/21/20
17,81,Illinois,Jefferson County,3/21/20
17,83,Illinois,Jersey County,3/21/20
17,85,Illinois,Jo Daviess County,3/21/20
17,87,Illinois,Johnson County,3/21/20
17,89,Illinois,Kane County,3/21/20
17,91,Illinois,Kankakee County,3/21/20
17,93,Illinois,Kendall County,3/21/20
17,95,Illinois,Knox County,3/21/20
17,97,Illinois,Lake County,3/21/20
17,99,Illinois,LaSalle County,3/21/20
17,101,Illinois,Lawrence County,3/21/20
17,103,Illinois,Lee County,3/21/20
17,105,Illinois,Livingston County,3/21/20
17,107,Illinois,Logan County,3/21/20
17,109,Illinois,McDonough County,3/21/20
17,111,Illinois,McHenry County,3/21/20
17,113,Illinois,McLean County,3/21/20
17,115,Illinois,Macon County,3/21/20
17,117,Illinois,Macoupin County,3/21/20
17,119,Illinois,Madison County,3/21/20
17,121,Illinois,Marion County,3/21/20
17,123,Illinois,Marshall County,3/21/20
17,125,Illinois,Mason County,3/21/20
17,127,Illinois,Massac County,3/21/20
17,129,Illinois,Menard County,3/21/20
17,131,Illinois,Mercer County,3/21/20
17,133,Illinois,Monroe County,3/21/20
17,135,Illinois,Montgomery County,3/21/20
17,137,Illinois,Morgan County,3/21/20
17,139,Illinois,Moultrie County,3/21/20
17,141,Illinois,Ogle County,3/21/20
17,143,Illinois,Peoria County,3/21/20
17,145,Illinois,Perry County,3/21/20
17,147,Illinois,Piatt County,3/21/20
